name,score
image0000013A.tif,22.424242424242426
image0000015A.tif,6.666666666666667
image0000017A.tif,24.848484848484848
image0000019A.tif,20.0
image0000021A.tif,30.909090909090907
image0000022A.tif,15.757575757575756
image0000023A.tif,43.03030303030303
image0000024A.tif,6.666666666666667
image0000027A.tif,41.21212121212121
image0000028A.tif,6.0606060606060606
image0000029A.tif,24.848484848484848
image0000040A.tif,9.696969696969697
image0000046A.tif,43.63636363636363
image0000047A.tif,37.57575757575757
image0000048A.tif,18.787878787878785
image0000049A.tif,12.121212121212121
image0000050A.tif,24.848484848484848
image0000051A.tif,21.818181818181817
image0000054A.tif,15.757575757575756
image0000058A.tif,4.848484848484849
image0000078A.tif,21.818181818181817
image0000086A.tif,19.393939393939394
image0000088A.tif,11.515151515151516
